"","Year","Month","GrossReturn","PriceReturn","CPI","rate","adjusted.GR","adjusted.PR"
"1",1926,"Jan",-0.001783,-0.00398,17.9,0,-0.00178299999999998,-0.00397999999999998
"2",1926,"Feb",-0.033296,-0.037876,17.9,0,-0.033296,-0.037876
"3",1926,"Mar",-0.057708,-0.062007,17.8,-0.00558659217877083,-0.0524142247191013,-0.0567373764044946
"4",1926,"Apr",0.038522,0.034856,17.9,0.00561797752808977,0.0327202011173184,0.029074681564246
"5",1926,"May",0.013623,0.00907,17.8,-0.00558659217877083,0.0193175112359547,0.0147389325842695
"6",1926,"Jun",0.056427,0.050196,17.7,-0.00561797752808997,0.062395514124294,0.0561293107344634
"7",1926,"Jul",0.040403,0.038168,17.5,-0.0112994350282485,0.05229332,0.050032777142857
"8",1926,"Aug",0.029822,0.025747,17.4,-0.0057142857142858,0.0357405172413794,0.0316420977011496
"9",1926,"Sep",0.01342,0.009122,17.5,0.00574712643678169,0.00762902857142844,0.0033555885714287
"10",1926,"Oct",-0.030172,-0.032434,17.6,0.0057142857142858,-0.0356823863636364,-0.0379315340909091
"11",1926,"Nov",0.026937,0.019367,17.7,0.00568181818181806,0.0211350960451977,0.0136078644067796
"12",1926,"Dec",0.026047,0.020321,17.7,0,0.0260469999999999,0.020321
"13",1927,"Jan",-0.00291,-0.005579,17.5,-0.0112994350282485,0.00848531428571442,0.00578581142857137
"14",1927,"Feb",0.045522,0.040566,17.4,-0.0057142857142858,0.051530747126437,0.0465462643678163
"15",1927,"Mar",0.007324,0.00261,17.3,-0.00574712643678149,0.0131466820809247,0.00840543352601131
"16",1927,"Apr",0.013021,0.010907,17.3,0,0.0130209999999999,0.010907
"17",1927,"May",0.062353,0.057096,17.4,0.00578034682080913,0.056247522988506,0.0510207356321841
"18",1927,"Jun",-0.02037,-0.025705,17.6,0.0114942528735634,-0.0315021590909091,-0.0367765340909092
"19",1927,"Jul",0.08445,0.081687,17.3,-0.0170454545454546,0.10325549132948,0.100444578034682
"20",1927,"Aug",0.03332,0.028624,17.2,-0.00578034682080933,0.0393276744186046,0.0346043720930234
"21",1927,"Sep",0.053016,0.049095,17.3,0.00581395348837218,0.0469292023121386,0.043030867052023
"22",1927,"Oct",-0.046804,-0.04896,17.4,0.00578034682080913,-0.0522821379310343,-0.0544257471264367
"23",1927,"Nov",0.070546,0.06427,17.3,-0.00574712643678149,0.0767341271676298,0.0704218497109825
"24",1927,"Dec",0.019295,0.014403,17.3,0,0.0192950000000001,0.0144029999999999
"25",1928,"Jan",-0.007182,-0.0092,17.3,0,-0.00718200000000002,-0.00919999999999999
"26",1928,"Feb",-0.012549,-0.016679,17.1,-0.0115606936416185,-0.000999865497076091,-0.00517816959064332
"27",1928,"Mar",0.105752,0.101652,17.1,0,0.105752,0.101652
"28",1928,"Apr",0.034725,0.032715,17.1,0,0.0347249999999999,0.032715
"29",1928,"May",0.012325,0.007422,17.2,0.00584795321637414,0.00643938953488377,0.00156489534883741
"30",1928,"Jun",-0.03433,-0.038725,17.1,-0.00581395348837197,-0.0286828070175439,-0.0331035087719299
"31",1928,"Jul",0.010117,0.008278,17.1,0,0.0101169999999999,0.00827800000000001
"32",1928,"Aug",0.07023,0.065514,17.1,0,0.07023,0.0655140000000001
"33",1928,"Sep",0.022409,0.019937,17.3,0.0116959064327485,0.0105892427745664,0.00814582080924886
"34",1928,"Oct",0.013839,0.012055,17.2,-0.00578034682080933,0.0197334127906976,0.0179390406976745
"35",1928,"Nov",0.122975,0.116704,17.2,0,0.122975,0.116704
"36",1928,"Dec",0.006232,0.002888,17.1,-0.00581395348837197,0.0121163976608187,0.00875284210526295
"37",1929,"Jan",0.055473,0.053892,17.1,0,0.0554730000000001,0.0538920000000001
"38",1929,"Feb",-0.004874,-0.008075,17.1,0,-0.00487400000000004,-0.00807500000000005
"39",1929,"Mar",0.000154,-0.003213,17,-0.00584795321637435,0.00603725882352935,0.00265045294117661
"40",1929,"Apr",0.019559,0.018234,16.9,-0.00588235294117655,0.0255918934911246,0.024259053254438
"41",1929,"May",-0.041281,-0.046101,17,0.00591715976331369,-0.0469205235294118,-0.0517121705882353
"42",1929,"Jun",0.112294,0.109584,17.1,0.00588235294117655,0.105789356725146,0.103095204678362
"43",1929,"Jul",0.050014,0.048186,17.3,0.0116959064327485,0.0378751098265897,0.0360682427745667
"44",1929,"Aug",0.094871,0.090733,17.3,0,0.0948709999999999,0.090733
"45",1929,"Sep",-0.050941,-0.053046,17.3,0,-0.050941,-0.053046
"46",1929,"Oct",-0.18615,-0.188115,17.3,0,-0.18615,-0.188115
"47",1929,"Nov",-0.125359,-0.130374,17.3,0,-0.125359,-0.130374
"48",1929,"Dec",0.027753,0.023571,17.2,-0.00578034682080933,0.0337283081395348,0.0295219941860465
"49",1930,"Jan",0.059632,0.057032,17.1,-0.00581395348837197,0.065828678362573,0.0632134736842105
"50",1930,"Feb",0.026041,0.021516,17,-0.00584795321637435,0.0320765352941177,0.0275249176470589
"51",1930,"Mar",0.072348,0.069351,16.9,-0.00588235294117655,0.07869325443787,0.0756785207100592
"52",1930,"Apr",-0.013938,-0.015867,17,0.00591715976331369,-0.0197383647058824,-0.0216560176470588
"53",1930,"May",-0.011148,-0.015304,16.9,-0.00588235294117655,-0.00529680473372773,-0.00947739644970402
"54",1930,"Jun",-0.155715,-0.159182,16.8,-0.00591715976331348,-0.150689494047619,-0.154177130952381
"55",1930,"Jul",0.038713,0.036395,16.6,-0.0119047619047619,0.0512276144578312,0.0488816867469879
"56",1930,"Aug",0.011266,0.006691,16.5,-0.00602409638554225,0.0173948848484848,0.0127921575757577
"57",1930,"Sep",-0.123549,-0.127635,16.6,0.00606060606060615,-0.128828825301205,-0.132890210843373
"58",1930,"Oct",-0.08368,-0.086394,16.5,-0.00602409638554225,-0.0781265454545453,-0.0808569939393938
"59",1930,"Nov",-0.019736,-0.024113,16.4,-0.00606060606060615,-0.0137587804878048,-0.0181624695121951
"60",1930,"Dec",-0.071479,-0.077707,16.1,-0.0182926829268291,-0.0541773664596275,-0.0605214161490685
"61",1931,"Jan",0.059527,0.056729,15.9,-0.0124223602484473,0.0728543836477988,0.0700211886792452
"62",1931,"Feb",0.110943,0.105279,15.7,-0.0125786163522013,0.125095140127389,0.119358987261146
"63",1931,"Mar",-0.068939,-0.073451,15.6,-0.00636942675159233,-0.0629706602564102,-0.0675115833333334
"64",1931,"Apr",-0.092955,-0.09546,15.5,-0.00641025641025639,-0.0871030967741936,-0.0896242580645161
"65",1931,"May",-0.137674,-0.14302,15.3,-0.0129032258064516,-0.126401764705882,-0.131817647058824
"66",1931,"Jun",0.146492,0.139763,15.1,-0.0130718954248367,0.161677324503311,0.154859198675497
"67",1931,"Jul",-0.075465,-0.07857,15.1,0,-0.075465,-0.07857
"68",1931,"Aug",0.007779,0.002304,15.1,0,0.00777899999999998,0.00230400000000008
"69",1931,"Sep",-0.287461,-0.291524,15,-0.00662251655629137,-0.28271074,-0.286800826666667
"70",1931,"Oct",0.076738,0.072834,14.9,-0.00666666666666664,0.0839644295302013,0.0800342281879194
"71",1931,"Nov",-0.100909,-0.109396,14.7,-0.0134228187919464,-0.0886764693877551,-0.0972789387755102
"72",1931,"Dec",-0.137557,-0.145471,14.6,-0.00680272108843535,-0.131649856164384,-0.139618061643836
"73",1932,"Jan",-0.018803,-0.021067,14.3,-0.0205479452054794,0.0017815524475524,-0.000529944055943976
