"Year","Month","CPI"
1913,"Jan",9.8
1914,"Feb",9.8
1915,"Mar",9.8
1916,"Apr",9.8
1917,"May",9.7
1918,"Jun",9.8
1919,"Jul",9.9
1920,"Aug",9.9
1921,"Sep",10
1922,"Oct",10
1923,"Nov",10.1
1924,"Dec",10
1925,"Jan",9.8
1926,"Feb",9.8
1927,"Mar",9.8
1928,"Apr",9.8
1929,"May",9.7
1930,"Jun",9.8
1931,"Jul",9.9
1932,"Aug",9.9
1933,"Sep",10
1934,"Oct",10
1935,"Nov",10.1
1936,"Dec",10
1937,"Jan",9.8
1938,"Feb",9.8
1939,"Mar",9.8
1940,"Apr",9.8
1941,"May",9.7
1942,"Jun",9.8
1943,"Jul",9.9
1944,"Aug",9.9
1945,"Sep",10
1946,"Oct",10
1947,"Nov",10.1
1948,"Dec",10
1949,"Jan",9.8
1950,"Feb",9.8
1951,"Mar",9.8
1952,"Apr",9.8
1953,"May",9.7
1954,"Jun",9.8
1955,"Jul",9.9
1956,"Aug",9.9
1957,"Sep",10
1958,"Oct",10
1959,"Nov",10.1
1960,"Dec",10
1961,"Jan",9.8
1962,"Feb",9.8
1963,"Mar",9.8
1964,"Apr",9.8
1965,"May",9.7
1966,"Jun",9.8
1967,"Jul",9.9
1968,"Aug",9.9
1969,"Sep",10
1970,"Oct",10
1971,"Nov",10.1
1972,"Dec",10
1973,"Jan",9.8
1974,"Feb",9.8
1975,"Mar",9.8
1976,"Apr",9.8
1977,"May",9.7
1978,"Jun",9.8
1979,"Jul",9.9
1980,"Aug",9.9
1981,"Sep",10
1982,"Oct",10
1983,"Nov",10.1
1984,"Dec",10
1985,"Jan",9.8
1986,"Feb",9.8
1987,"Mar",9.8
1988,"Apr",9.8
1989,"May",9.7
1990,"Jun",9.8
1991,"Jul",9.9
1992,"Aug",9.9
1993,"Sep",10
1994,"Oct",10
1995,"Nov",10.1
1996,"Dec",10
1997,"Jan",9.8
1998,"Feb",9.8
1999,"Mar",9.8
2000,"Apr",9.8
2001,"May",9.7
2002,"Jun",9.8
2003,"Jul",9.9
2004,"Aug",9.9
2005,"Sep",10
2006,"Oct",10
2007,"Nov",10.1
2008,"Dec",10
2009,"Jan",9.8
2010,"Feb",9.8
2011,"Mar",9.8
2012,"Apr",9.8
2013,"May",9.7
2014,"Jun",9.8
2015,"Jul",9.9
2016,"Aug",9.9
2017,"Sep",10
2018,"Oct",10
2019,"Nov",10.1
2020,"Dec",10
1913,"Jan",10
1914,"Feb",9.9
1915,"Mar",9.9
1916,"Apr",9.8
1917,"May",9.9
1918,"Jun",9.9
1919,"Jul",10
1920,"Aug",10.2
1921,"Sep",10.2
1922,"Oct",10.1
1923,"Nov",10.2
1924,"Dec",10.1
1925,"Jan",10
1926,"Feb",9.9
1927,"Mar",9.9
1928,"Apr",9.8
1929,"May",9.9
1930,"Jun",9.9
1931,"Jul",10
1932,"Aug",10.2
1933,"Sep",10.2
1934,"Oct",10.1
1935,"Nov",10.2
1936,"Dec",10.1
1937,"Jan",10
1938,"Feb",9.9
1939,"Mar",9.9
1940,"Apr",9.8
1941,"May",9.9
1942,"Jun",9.9
1943,"Jul",10
1944,"Aug",10.2
1945,"Sep",10.2
1946,"Oct",10.1
1947,"Nov",10.2
1948,"Dec",10.1
1949,"Jan",10
1950,"Feb",9.9
1951,"Mar",9.9
1952,"Apr",9.8
1953,"May",9.9
1954,"Jun",9.9
1955,"Jul",10
1956,"Aug",10.2
1957,"Sep",10.2
1958,"Oct",10.1
1959,"Nov",10.2
1960,"Dec",10.1
1961,"Jan",10
1962,"Feb",9.9
1963,"Mar",9.9
1964,"Apr",9.8
1965,"May",9.9
1966,"Jun",9.9
1967,"Jul",10
1968,"Aug",10.2
1969,"Sep",10.2
