"","sp.t","GrossReturn","PriceReturn","inf.crsp.t","inf.crsp","crsp.adj.GR","crsp.adj.PR"
"2",19260430,1.038522,1.034856,19260430,1.005618,0.0327201780397726,0.029074658568164
"3",19260528,1.013623,1.00907,19260528,0.994413,0.0193179292708361,0.0147393487414182
"4",19260630,1.056427,1.050196,19260630,0.994382,0.0623955381332326,0.0561293346017928
"5",19260731,1.040403,1.038168,19260731,0.988701,0.0522928569911429,0.0500323151286384
"6",19260831,1.029822,1.025747,19260831,0.994286,0.0357402196148795,0.0316418012523558
"7",19260930,1.01342,1.009122,19260930,1.005747,0.00762915524480823,0.00335571470757579
"8",19261030,0.969828,0.967566,19261030,1.005714,-0.035682112409691,-0.0379312607759263
"9",19261130,1.026937,1.019367,19261130,1.005682,0.0211349114332364,0.0136076811556733
"10",19261231,1.026047,1.020321,19261231,1,0.0260469999999999,0.020321
"11",19270131,0.99709,0.994421,19270131,0.988701,0.00848487055237124,0.00578536888300896
"12",19270228,1.045522,1.040566,19270228,0.994286,0.0515304449625158,0.0465459636362175
"13",19270331,1.007324,1.00261,19270331,0.994253,0.0131465532414787,0.00840530528949879
"14",19270430,1.013021,1.010907,19270430,1,0.0130209999999999,0.010907
"15",19270531,1.062353,1.057096,19270531,1.00578,0.0562478872119154,0.0510210980532524
"16",19270630,0.97963,0.974295,19270630,1.011494,-0.0315019169663883,-0.0367762932849823
"17",19270730,1.08445,1.081687,19270730,0.982955,0.103254981153766,0.100444069158812
"18",19270831,1.03332,1.028624,19270831,0.99422,0.0393273118625657,0.0346040111846473
"19",19270930,1.053016,1.049095,19270930,1.005814,0.0469291538992298,0.043030818819384
"20",19271031,0.953196,0.95104,19271031,1.00578,-0.0522818111316589,-0.054425421066237
"21",19271130,1.070546,1.06427,19271130,0.994253,0.0767339902419202,0.0704217135879901
"22",19271231,1.019295,1.014403,19271231,1,0.0192950000000001,0.0144029999999999
"23",19280131,0.992818,0.9908,19280131,1,-0.00718200000000002,-0.00919999999999999
"24",19280229,0.987451,0.983321,19280229,0.988439,-0.000999555865359381,-0.00517786125395692
"25",19280331,1.105752,1.101652,19280331,1,0.105752,0.101652
"26",19280430,1.034725,1.032715,19280430,1,0.0347249999999999,0.032715
"27",19280531,1.012325,1.007422,19280531,1.005848,0.00643934272375124,0.00156484876442553
"28",19280630,0.96567,0.961275,19280630,0.994186,-0.0286827615758017,-0.0331034635370042
"29",19280731,1.010117,1.008278,19280731,1,0.0101169999999999,0.00827800000000001
"30",19280831,1.07023,1.065514,19280831,1,0.07023,0.0655140000000001
"31",19280929,1.022409,1.019937,19280929,1.011696,0.0105891493096739,0.0081457275703376
"32",19281031,1.013839,1.012055,19281031,0.99422,0.0197330570698637,0.0179386856027841
"33",19281130,1.122975,1.116704,19281130,1,0.122975,0.116704
"34",19281231,1.006232,1.002888,19281231,0.994186,0.0121164450112956,0.00875288929838081
"35",19290131,1.055473,1.053892,19290131,1,0.0554730000000001,0.0538920000000001
"36",19290228,0.995126,0.991925,19290228,1,-0.00487400000000004,-0.00807500000000005
"37",19290328,1.000154,0.996787,19290328,0.994152,0.00603730616646136,0.00265050012472945
"38",19290430,1.019559,1.018234,19290430,0.994118,0.0255915293757885,0.0242586896122996
"39",19290531,0.958719,0.953899,19290531,1.005917,-0.0469203721579414,-0.0517120199777913
"40",19290629,1.112294,1.109584,19290629,1.005882,0.105789744721548,0.103095591729447
