"","sp.t","GrossReturn","PriceReturn","inf.crsp.t","inf.crsp","adjusted.GR","adjusted.PR"
"2",19260430,1.038522,1.034856,19260430,1.005618,0.0385215972964781,0.0348555987180281
"3",19260528,1.013623,1.00907,19260528,0.994413,0.00795949744642566,0.00343193681306042
"4",19260630,1.056427,1.050196,19260630,0.994382,0.0446224892792306,0.0384611144462332
"5",19260731,1.040403,1.038168,19260731,0.988701,0.0171533839456846,0.0149683289111273
"6",19260831,1.029822,1.025747,19260831,0.994286,0.0010559291268295,-0.00290524368865885
"7",19260930,1.01342,1.009122,19260930,1.005747,-0.00922647379968311,-0.0134284281874087
"8",19261030,0.969828,0.967566,19261030,1.005714,-0.0464265801360733,-0.048650668402995
"9",19261130,1.026937,1.019367,19261130,1.005682,0.0154625164588362,0.00797709987574158
"10",19261231,1.026047,1.020321,19261231,1,0.0145824608764116,0.0089204403539811
"11",19270131,0.99709,0.994421,19270131,0.988701,-0.0251912258868796,-0.0278005837363294
"12",19270228,1.045522,1.040566,19270228,0.994286,0.0163178866932763,0.0115003204952893
"13",19270331,1.007324,1.00261,19270331,0.994253,-0.0264405319677961,-0.0309965232201677
"14",19270430,1.013021,1.010907,19270430,1,-0.0209344899302994,-0.0229776306828477
"15",19270531,1.062353,1.057096,19270531,1.00578,0.0326785288853746,0.0275683715023289
"16",19270630,0.97963,0.974295,19270630,1.011494,-0.0367884400305987,-0.0420340262952462
"17",19270730,1.08445,1.081687,19270730,0.982955,0.0481001398980616,0.0454297533550783
"18",19270831,1.03332,1.028624,19270831,0.99422,-0.00708841849402797,-0.0116007794148968
"19",19270930,1.053016,1.049095,19270930,1.005814,0.0177201834582932,0.0139306106129233
"20",19271031,0.953196,0.95104,19271031,1.00578,-0.0734291694125223,-0.075524946892439
"21",19271130,1.070546,1.06427,19271130,0.994253,0.0346623739586391,0.0285967391713771
"22",19271231,1.019295,1.014403,19271231,1,-0.0148707440276539,-0.0195987691040223
"23",19280131,0.992818,0.9908,19280131,1,-0.0404602615965421,-0.0424106202645942
"24",19280229,0.987451,0.983321,19280229,0.988439,-0.0566806359617741,-0.0606260560114554
"25",19280331,1.105752,1.101652,19280331,1,0.0563331987349209,0.0524164379107821
"26",19280430,1.034725,1.032715,19280430,1,-0.0115194283519352,-0.0134395964632812
"27",19280531,1.012325,1.007422,19280531,1.005848,-0.0272628230733812,-0.0319740871224476
"28",19280630,0.96567,0.961275,19280630,0.994186,-0.0774881892640553,-0.0816867658048865
"29",19280731,1.010117,1.008278,19280731,1,-0.0350276360193853,-0.0367844465446614
"30",19280831,1.07023,1.065514,19280831,1,0.0223987647994968,0.0178935345454445
