caldt,cpiret,cpiind
19251231,,42.1
19260130,0.000000,42.1
19260227,0.000000,42.1
19260331,-0.005587,41.9
19260430,0.005618,42.1
19260528,-0.005587,41.9
19260630,-0.005618,41.6
19260731,-0.011299,41.2
19260831,-0.005714,40.9
19260930,0.005747,41.2
19261030,0.005714,41.4
19261130,0.005682,41.6
19261231,0.000000,41.6
19270131,-0.011299,41.2
19270228,-0.005714,40.9
19270331,-0.005747,40.7
19270430,0.000000,40.7
19270531,0.005780,40.9
19270630,0.011494,41.4
19270730,-0.017045,40.7
19270831,-0.005780,40.5
19270930,0.005814,40.7
19271031,0.005780,40.9
19271130,-0.005747,40.7
19271231,0.000000,40.7
19280131,0.000000,40.7
19280229,-0.011561,40.2
19280331,0.000000,40.2
19280430,0.000000,40.2
19280531,0.005848,40.5
19280630,-0.005814,40.2
19280731,0.000000,40.2
19280831,0.000000,40.2
19280929,0.011696,40.7
19281031,-0.005780,40.5
19281130,0.000000,40.5
19281231,-0.005814,40.2
19290131,0.000000,40.2
19290228,0.000000,40.2
19290328,-0.005848,40.0
19290430,-0.005882,39.8
19290531,0.005917,40.0
19290629,0.005882,40.2
19290731,0.011696,40.7
19290830,0.000000,40.7
19290930,0.000000,40.7
19291031,0.000000,40.7
19291127,0.000000,40.7
19291231,-0.005780,40.5
19300131,-0.005814,40.2
19300228,-0.005848,40.0
19300331,-0.005882,39.8
19300430,0.005917,40.0
19300529,-0.005882,39.8
19300630,-0.005917,39.5
19300731,-0.011905,39.1
19300829,-0.006024,38.8
19300930,0.006061,39.1
19301031,-0.006024,38.8
19301129,-0.006061,38.6
19301231,-0.018293,37.9
19310131,-0.012422,37.4
19310228,-0.012579,36.9
19310331,-0.006369,36.7
19310430,-0.006410,36.5
19310529,-0.012903,36.0
19310630,-0.013072,35.5
19310731,0.000000,35.5
19310831,0.000000,35.5
19310930,-0.006623,35.3
19311031,-0.006667,35.1
19311130,-0.013423,34.6
19311231,-0.006803,34.4
19320130,-0.020548,33.6
19320229,-0.013986,33.2
19320331,-0.007092,32.9
19320430,-0.007143,32.7
19320531,-0.014388,32.2
19320630,-0.007299,32.0
19320730,0.000000,32.0
19320831,-0.007353,31.8
19320930,-0.007407,31.5
19321031,-0.007463,31.3
19321130,-0.007519,31.1
19321231,-0.007576,30.8
19330131,-0.015267,30.4
19330228,-0.015504,29.9
19330331,-0.007874,29.6
19330429,0.000000,29.6
19330531,0.000000,29.6
19330630,0.007937,29.9
19330731,0.031496,30.8
19330831,0.007634,31.1
19330930,0.000000,31.1
19331031,0.000000,31.1
19331129,0.000000,31.1
19331230,0.000000,31.1
19340131,0.000000,31.1
19340228,0.007576,31.3
19340331,0.000000,31.3
19340430,0.000000,31.3
19340531,0.000000,31.3
19340630,0.007519,31.5
19340731,0.000000,31.5
19340831,0.000000,31.5
19340929,0.014925,32.0
19341031,-0.007353,31.8
19341130,0.000000,31.8
19341231,-0.007407,31.5
19350131,0.014925,32.0
19350228,0.007353,32.2
19350330,0.000000,32.2
19350430,0.007299,32.5
19350531,0.000000,32.5
19350629,-0.007246,32.2
19350731,0.000000,32.2
19350831,0.000000,32.2
19350930,0.000000,32.2
19351030,0.000000,32.2
19351130,0.007299,32.5
19351231,0.000000,32.5
19360131,0.000000,32.5
19360229,0.000000,32.5
19360331,-0.007246,32.2
19360430,0.000000,32.2
19360529,0.000000,32.2
19360630,0.007299,32.5
19360731,0.007246,32.7
19360831,0.007194,32.9
19360930,0.000000,32.9
19361031,0.000000,32.9
19361130,0.000000,32.9
19361231,0.000000,32.9
19370130,0.007143,33.2
19370227,0.000000,33.2
19370331,0.007092,33.4
19370430,0.007042,33.6
19370528,0.006993,33.9
19370630,0.000000,33.9
19370731,0.006944,34.1
19370831,0.000000,34.1
19370930,0.006897,34.4
19371030,0.000000,34.4
19371130,-0.006849,34.1
19371231,-0.006897,33.9
19380131,-0.013889,33.4
19380228,-0.007042,33.2
19380331,0.000000,33.2
19380430,0.007092,33.4
19380531,-0.007042,33.2
19380630,0.000000,33.2
19380730,0.000000,33.2
19380831,0.000000,33.2
19380930,0.000000,33.2
19381031,-0.007092,32.9
19381130,0.000000,32.9
19381231,0.000000,32.9
19390131,0.000000,32.9
19390228,-0.007143,32.7
19390331,0.000000,32.7
19390429,-0.007194,32.5
19390531,0.000000,32.5
19390630,0.000000,32.5
19390731,0.000000,32.5
19390831,0.000000,32.5
19390930,0.021739,33.2
19391031,-0.007092,32.9
19391130,0.000000,32.9
19391230,0.000000,32.9
19400131,-0.007143,32.7
19400229,0.007194,32.9
19400330,0.000000,32.9
19400430,0.000000,32.9
19400531,0.000000,32.9
19400629,0.007143,33.2
19400731,-0.007092,32.9
19400831,0.000000,32.9
19400930,0.000000,32.9
19401031,0.000000,32.9
19401130,0.000000,32.9
19401231,0.007143,33.2
19410131,0.000000,33.2
19410228,0.000000,33.2
19410331,0.007092,33.4
19410430,0.007042,33.6
19410531,0.006993,33.9
19410630,0.020833,34.6
19410731,0.000000,34.6
19410830,0.013605,35.1
19410930,0.013423,35.5
19411031,0.013245,36.0
19411129,0.006536,36.2
19411231,0.006494,36.5
19420131,0.012903,36.9
19420228,0.006369,37.2
19420331,0.012658,37.6
19420430,0.006250,37.9
19420529,0.012422,38.4
19420630,0.000000,38.4
19420731,0.006135,38.6
