caldt,vwretd,vwretx,ewretd,ewretx,totval,totcnt,usdval,usdcnt,spindx,sprtrn
19251231,,,,,15236829.50,89,,,12.46,
19260130,-0.001783,-0.003980,0.006457,0.003250,15277664.00,89,15236829.50,79,12.74,0.022472
19260227,-0.033296,-0.037876,-0.039979,-0.042451,14712894.90,89,15277664.00,81,12.18,-0.043956
19260331,-0.057708,-0.062007,-0.067915,-0.073275,14012079.20,89,14712894.90,81,11.46,-0.059113
19260430,0.038522,0.034856,0.031441,0.027121,14500482.20,89,14012079.20,82,11.72,0.022688
19260528,0.013623,0.009070,0.012011,0.009515,14778795.50,89,14500482.20,82,11.81,0.007679
19260630,0.056427,0.050196,0.052142,0.045353,15554633.50,89,14762818.00,83,12.32,0.043184
19260731,0.040403,0.038168,0.037547,0.033930,16180459.20,89,15545083.50,82,12.88,0.045455
19260831,0.029822,0.025747,0.018924,0.016380,16743393.60,89,16180459.20,83,13.10,0.017081
19260930,0.013420,0.009122,0.014037,0.008582,16835120.40,89,16687393.60,83,13.40,0.022901
19261030,-0.030172,-0.032434,-0.025891,-0.028923,16275309.30,89,16692236.80,81,12.98,-0.031343
19261130,0.026937,0.019367,0.036507,0.033330,16907546.60,89,16217044.30,82,13.27,0.022342
19261231,0.026047,0.020321,0.021203,0.014315,17028798.80,89,16907546.60,84,13.49,0.016579
19270131,-0.002910,-0.005579,-0.003955,-0.007715,17018724.40,89,17028798.80,84,13.21,-0.020756
19270228,0.045522,0.040566,0.043428,0.040922,17776303.50,89,17018724.40,85,13.84,0.047691
19270331,0.007324,0.002610,-0.010052,-0.015601,17883291.60,89,17776303.50,85,13.93,0.006503
19270430,0.013021,0.010907,0.006900,0.003890,18088304.20,89,17883291.60,85,14.17,0.017229
19270531,0.062353,0.057096,0.064407,0.061419,19323089.50,89,18076286.80,84,14.91,0.052223
19270630,-0.020370,-0.025705,-0.026920,-0.032691,18855819.60,89,19323089.50,85,14.77,-0.009390
19270730,0.084450,0.081687,0.067444,0.063848,20355724.10,89,18855819.60,86,15.73,0.064997
19270831,0.033320,0.028624,0.026115,0.023386,21138727.10,89,20355724.10,86,16.43,0.044501
19270930,0.053016,0.049095,0.057959,0.052935,22117908.20,89,21127204.60,86,17.14,0.043214
19271031,-0.046804,-0.048960,-0.045279,-0.047817,21050088.10,89,22117908.20,86,16.23,-0.053092
19271130,0.070546,0.064270,0.078058,0.075363,22421224.20,89,21050088.10,87,17.33,0.067776
19271231,0.019295,0.014403,0.019800,0.013906,22880436.60,89,22421224.20,87,17.66,0.019042
19280131,-0.007182,-0.009200,0.011459,0.008766,22716371.50,89,22880436.60,87,17.57,-0.005096
19280229,-0.012549,-0.016679,-0.021508,-0.023815,22351074.60,89,22716371.50,87,17.26,-0.017644
19280331,0.105752,0.101652,0.075281,0.070583,24631644.00,89,22351074.60,87,19.13,0.108343
19280430,0.034725,0.032715,0.040016,0.037486,25503612.10,89,24631644.00,87,19.75,0.032410
19280531,0.012325,0.007422,0.015924,0.013734,25803556.00,89,25503612.10,87,20.00,0.012658
19280630,-0.034330,-0.038725,-0.048573,-0.054046,24948490.40,89,25803556.00,87,19.19,-0.040500
19280731,0.010117,0.008278,0.007727,0.005266,25138229.90,89,24921400.40,86,19.43,0.012507
